2018-08-11 20:07:41,789 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-08-11 20:07:41,795 | INFO  | Listening for connections at: amqp://DESKTOP-9EPRQCJ:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-08-11 20:07:41,795 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-08-11 20:07:41,800 | INFO  | Listening for connections at: stomp://DESKTOP-9EPRQCJ:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-08-11 20:07:41,800 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-08-11 20:07:41,806 | INFO  | Listening for connections at: mqtt://DESKTOP-9EPRQCJ:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-08-11 20:07:41,807 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-08-11 20:07:41,945 | INFO  | Listening for connections at ws://DESKTOP-9EPRQCJ:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2018-08-11 20:07:41,945 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-08-11 20:07:41,947 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:DESKTOP-9EPRQCJ-59424-1533989261653-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-08-11 20:07:41,947 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
